laberinto,algoritmo,tiempo_ejecucion,nodos_explorados,longitud_ruta
1,BFS,0.14168262481689453,1341,149
1,DFS,1.6719050407409668,3589,149
1,Dijkstra,0.14145135879516602,1333,149
1,A*,0.04701805114746094,725,149
2,BFS,0.01291656494140625,389,75
2,DFS,4.93315863609314,4839,75
2,Dijkstra,0.014525175094604492,379,75
2,A*,0.009009599685668945,259,75
3,BFS,0.4431459903717041,2272,167
3,DFS,0.7834725379943848,2859,167
3,Dijkstra,0.43389344215393066,2270,167
3,A*,0.15765881538391113,1485,167
4,BFS,0.04563546180725098,809,61
4,DFS,3.24967098236084,4735,61
4,Dijkstra,0.06865835189819336,790,61
4,A*,0.003996849060058594,197,61
5,BFS,0.0050199031829833984,221,35
5,DFS,0.04263615608215332,99,35
5,Dijkstra,0.004347801208496094,229,35
5,A*,0.0022933483123779297,87,35
6,BFS,2.485729932785034,4556,457
6,DFS,0.25247907638549805,1647,457
6,Dijkstra,2.8172287940979004,4560,457
6,A*,1.9489290714263916,4287,457
7,BFS,0.021355390548706055,595,81
7,DFS,0.002330780029296875,123,81
7,Dijkstra,0.020100831985473633,606,81
7,A*,0.002917766571044922,235,81
8,BFS,0.004243373870849609,297,47
8,DFS,2.405369281768799,4763,47
8,Dijkstra,0.003996610641479492,296,47
8,A*,0.002087116241455078,171,47
9,BFS,0.2133800983428955,1637,207
9,DFS,1.8371970653533936,4423,207
9,Dijkstra,0.15456652641296387,1632,207
9,A*,0.08500170707702637,1367,207
10,BFS,0.23608899116516113,1924,129
10,DFS,0.019924163818359375,619,129
10,Dijkstra,0.17893481254577637,1927,129
10,A*,0.06798982620239258,1081,129
11,BFS,0.4964299201965332,2660,137
11,DFS,0.009000062942504883,333,137
11,Dijkstra,0.5216193199157715,2675,137
11,A*,0.06900286674499512,981,137
12,BFS,1.1723361015319824,3729,231
12,DFS,0.398939847946167,2299,231
12,Dijkstra,1.0548648834228516,3733,231
12,A*,0.47353625297546387,2429,231
13,BFS,0.09969305992126465,1457,133
13,DFS,0.12561321258544922,1411,133
13,Dijkstra,0.09108614921569824,1464,133
13,A*,0.026081085205078125,759,133
14,BFS,0.007999181747436523,400,63
14,DFS,0.009259223937988281,333,63
14,Dijkstra,0.008992910385131836,403,63
14,A*,0.005001068115234375,269,63
15,BFS,0.4010910987854004,2661,183
15,DFS,1.1606073379516602,3457,183
15,Dijkstra,0.4957427978515625,2679,183
15,A*,0.23984122276306152,2055,183
16,BFS,0.9785416126251221,3823,203
16,DFS,1.2516300678253174,3951,203
16,Dijkstra,0.9814043045043945,3809,203
16,A*,0.2831764221191406,1951,203
17,BFS,0.3258841037750244,2267,113
17,DFS,0.1342911720275879,1731,113
17,Dijkstra,0.28853273391723633,2290,113
17,A*,0.03807854652404785,765,113
18,BFS,1.0616710186004639,3614,451
18,DFS,0.15909171104431152,1551,451
18,Dijkstra,0.9290132522583008,3612,451
18,A*,0.6598153114318848,2819,451
19,BFS,1.7351272106170654,4432,231
19,DFS,0.1362595558166504,1607,231
19,Dijkstra,1.7005136013031006,4445,231
19,A*,0.9886395931243896,3409,231
20,BFS,1.636760950088501,4426,221
20,DFS,0.48329782485961914,2477,221
20,Dijkstra,1.7243940830230713,4433,221
20,A*,0.41450047492980957,2253,221
21,BFS,1.3079969882965088,4164,209
21,DFS,0.5577278137207031,2803,209
21,Dijkstra,1.393779993057251,4169,209
21,A*,0.5052216053009033,2633,209
22,BFS,0.01699542999267578,523,43
22,DFS,0.015019893646240234,585,43
22,Dijkstra,0.0128173828125,531,43
22,A*,0.0009806156158447266,89,43
23,BFS,0.057997703552246094,982,107
23,DFS,0.20006513595581055,1539,107
23,Dijkstra,0.052222490310668945,999,107
23,A*,0.007999181747436523,427,107
24,BFS,0.2666184902191162,1931,123
24,DFS,0.8599457740783691,3567,123
24,Dijkstra,0.1940302848815918,1936,123
24,A*,0.04501843452453613,943,123
25,BFS,1.919649362564087,4536,341
25,DFS,1.373133659362793,3923,341
25,Dijkstra,1.951181173324585,4535,341
25,A*,1.5255322456359863,4049,341
